单价(元),数量(个),消费城市级别,支付方式,优惠方式,优惠金额(元),实际支付(元),库存剩余(件),商品评分,是否复购,客户年龄段,商品类别,包装规格(g),是否节假日,是否用餐高峰
39.28,10,三线,银行卡,满减,3,389.8,1402,30,1,18-24,肉食,600.0,否,否
34.04,6,三线,余额,秒杀,16,188.24,9918,31,1,35-44,肉食,300.0,否,否
22.18,2,一线,银行卡,平台券,4,40.36,3706,40,1,45-54,肉食,400.0,否,否
27.61,6,一线,支付宝,会员折扣,1,164.66,4646,14,0,25-34,肉食,1000.0,否,否
29.81,8,新一线,支付宝,店铺券,1,237.48,4646,14,1,18-24,肉食,1000.0,否,否
17.39,9,二线,银行卡,店铺券,10,146.51,3214,30,1,25-34,肉食,600.0,否,否
41.01,1,三线,微信,会员折扣,19,22.01,72,32,0,18-24,肉食,200.0,否,是
47.58,3,一线,支付宝,秒杀,26,116.74,3673,43,1,25-34,肉食,200.0,否,是
45.79,6,一线,支付宝,满减,11,263.74,3673,43,1,18-24,肉食,200.0,否,是
33.92,7,三线,银行卡,满减,7,230.44,2982,30,1,45-54,肉食,400.0,是,否
24.27,5,新一线,银行卡,会员折扣,10,111.35,60,32,0,18-24,肉食,800.0,否,否
15.64,5,新一线,余额,满减,2,76.2,2333,36,0,45-54,肉食,800.0,否,否
10.22,7,新一线,银行卡,满减,12,59.54,60,32,1,35-44,肉食,800.0,否,否
42.62,6,三线,微信,会员折扣,8,247.72,9241,47,1,45-54,肉食,600.0,否,否
39.16,7,新一线,银行卡,满减,6,268.12,6507,31,1,25-34,蔬菜,500.0,否,否
12.96,1,三线,云闪付,会员折扣,11,1.96,14,42,0,18-24,肉食,200.0,否,是
22.44,8,一线,云闪付,满减,1,178.52,42,35,0,18-24,豆制品,500.0,是,是
23.01,6,二线,云闪付,秒杀,28,110.06,14,42,1,55+,肉食,200.0,否,是
35.5,7,新一线,银行卡,满减,27,221.5,60,32,0,45-54,肉食,800.0,否,否
40.43,2,一线,支付宝,无,0,80.86,2633,20,1,25-34,蔬菜,200.0,否,否
32.45,0,新一线,银行卡,秒杀,0,0.0,20,46,1,35-44,肉食,400.0,否,否
29.75,2,三线,银行卡,无,0,59.5,20,46,1,18-24,肉食,400.0,否,否
14.32,4,新一线,余额,会员折扣,0,57.28,6916,43,1,18-24,肉食,1000.0,否,否
19.97,8,三线,银行卡,满减,8,151.76,60,32,0,25-34,肉食,800.0,否,否
26.42,7,三线,微信,满减,3,181.94,6237,40,1,18-24,肉食,800.0,否,是
13.08,6,新一线,支付宝,会员折扣,3,75.48,27,30,1,25-34,肉食,1000.0,是,否
16.45,7,三线,微信,会员折扣,1,114.15,87,40,1,55+,肉食,800.0,是,否
17.46,2,新一线,余额,满减,17,17.92,77,45,1,25-34,蔬菜,400.0,是,否
30.43,9,一线,支付宝,满减,29,244.87,27,30,0,45-54,肉食,1000.0,是,否
14.79,6,一线,余额,秒杀,15,73.74,77,45,1,18-24,蔬菜,400.0,是,否
22.93,3,新一线,支付宝,会员折扣,0,68.79,9724,41,1,45-54,肉食,400.0,是,是
30.75,4,新一线,余额,秒杀,1,122.0,1379,38,0,18-24,肉食,1000.0,否,是
38.12,6,新一线,微信,满减,10,218.72,7981,31,0,25-34,蔬菜,1000.0,否,否
24.55,6,新一线,支付宝,无,0,147.3,8241,13,0,55+,肉食,300.0,是,否
21.39,5,二线,支付宝,店铺券,27,79.95,9,17,0,25-34,肉食,300.0,否,是
