单价(元),数量(个),消费城市级别,支付方式,优惠方式,优惠金额(元),实际支付(元),库存剩余(件),商品评分,是否复购,客户年龄段,商品类别,包装规格(g),是否节假日,是否用餐高峰
39.28,10,3,0,3,3,389.8,1402,30,1,0,3,600.0,0,0
34.04,6,3,4,4,16,188.24,9918,31,1,2,3,300.0,0,0
22.18,2,0,0,1,4,40.36,3706,40,1,3,3,400.0,0,0
27.61,6,0,3,5,1,164.66,4646,14,0,1,3,1000.0,0,0
29.81,8,1,3,2,1,237.48,4646,14,1,0,3,1000.0,0,0
17.39,9,2,0,2,10,146.51,3214,30,1,1,3,600.0,0,0
41.01,1,3,2,5,19,22.01,72,32,0,0,3,200.0,0,1
47.58,3,0,3,4,26,116.74,3673,43,1,1,3,200.0,0,1
45.79,6,0,3,3,11,263.74,3673,43,1,0,3,200.0,0,1
33.92,7,3,0,3,7,230.44,2982,30,1,3,3,400.0,1,0
24.27,5,1,0,5,10,111.35,60,32,0,0,3,800.0,0,0
15.64,5,1,4,3,2,76.2,2333,36,0,3,3,800.0,0,0
10.22,7,1,0,3,12,59.54,60,32,1,2,3,800.0,0,0
42.62,6,3,2,5,8,247.72,9241,47,1,3,3,600.0,0,0
39.16,7,1,0,3,6,268.12,6507,31,1,1,1,500.0,0,0
12.96,1,3,1,5,11,1.96,14,42,0,0,3,200.0,0,1
22.44,8,0,1,3,1,178.52,42,35,0,0,2,500.0,1,1
23.01,6,2,1,4,28,110.06,14,42,1,4,3,200.0,0,1
35.5,7,1,0,3,27,221.5,60,32,0,3,3,800.0,0,0
40.43,2,0,3,0,0,80.86,2633,20,1,1,1,200.0,0,0
32.45,0,1,0,4,0,0.0,20,46,1,2,3,400.0,0,0
29.75,2,3,0,0,0,59.5,20,46,1,0,3,400.0,0,0
14.32,4,1,4,5,0,57.28,6916,43,1,0,3,1000.0,0,0
19.97,8,3,0,3,8,151.76,60,32,0,1,3,800.0,0,0
26.42,7,3,2,3,3,181.94,6237,40,1,0,3,800.0,0,1
13.08,6,1,3,5,3,75.48,27,30,1,1,3,1000.0,1,0
16.45,7,3,2,5,1,114.15,87,40,1,4,3,800.0,1,0
17.46,2,1,4,3,17,17.92,77,45,1,1,1,400.0,1,0
30.43,9,0,3,3,29,244.87,27,30,0,3,3,1000.0,1,0
14.79,6,0,4,4,15,73.74,77,45,1,0,1,400.0,1,0
22.93,3,1,3,5,0,68.79,9724,41,1,3,3,400.0,1,1
30.75,4,1,4,4,1,122.0,1379,38,0,0,3,1000.0,0,1
38.12,6,1,2,3,10,218.72,7981,31,0,1,1,1000.0,0,0
24.55,6,1,3,0,0,147.3,8241,13,0,4,3,300.0,1,0
21.39,5,2,3,2,27,79.95,9,17,0,1,3,300.0,0,1
12.06,4,0,2,5,12,36.24,33,13,0,3,1,500.0,0,0
21.15,5,0,1,5,3,102.75,3262,35,0,0,0,200.0,0,0
19.58,10,1,3,3,9,186.8,9,17,0,0,3,300.0,0,1
15.8,9,1,4,5,3,139.2,4024,35,0,3,3,1000.0,0,1
49.43,8,2,4,4,24,371.44,7556,50,1,2,3,1000.0,0,0
36.89,0,0,3,3,0,0.0,9,17,0,2,3,300.0,0,1
40.46,0,0,3,3,0,0.0,9724,41,1,0,3,400.0,1,1
39.13,10,1,1,3,13,378.3,3262,35,0,0,0,200.0,0,0
24.71,8,0,4,0,0,197.68,7556,50,1,0,3,1000.0,0,0
35.34,8,1,3,0,0,282.72,9,17,0,1,3,300.0,0,1
31.43,2,0,3,5,7,55.86,8241,13,0,1,3,300.0,1,0
22.83,7,1,1,4,4,155.81,3262,35,0,1,0,200.0,0,0
11.63,8,1,2,0,0,93.04,87,40,1,2,3,800.0,1,0
33.64,4,1,3,0,0,134.56,9724,41,1,1,3,400.0,1,1
23.64,0,0,4,2,0,0.0,77,45,1,4,1,400.0,1,0
20.32,1,1,4,4,8,12.32,7556,50,1,3,3,1000.0,0,0
32.21,4,0,1,0,0,128.84,3262,35,0,1,0,200.0,0,0
31.19,0,1,4,5,0,0.0,77,45,1,1,1,400.0,1,0
45.89,10,2,2,5,6,452.9,7981,31,0,3,1,1000.0,0,0
46.02,0,2,4,3,0,0.0,7556,50,1,0,3,1000.0,0,0
45.88,4,3,4,2,14,169.52,1379,38,0,0,3,1000.0,0,1
45.48,0,1,3,1,0,0.0,9,17,0,1,3,300.0,0,1
37.68,0,2,3,1,0,0.0,55,24,1,3,3,200.0,0,0
18.97,7,0,3,4,11,121.79,55,24,1,2,3,200.0,0,0
13.75,10,1,3,0,0,137.5,7079,33,1,2,3,200.0,0,1
20.61,2,0,4,3,0,41.22,5200,45,1,0,0,400.0,0,1
48.92,10,0,3,5,7,482.2,6088,44,1,3,1,400.0,0,0
45.68,2,1,3,0,0,91.36,6088,44,0,0,1,400.0,0,0
35.25,9,0,3,4,2,315.25,6088,44,1,2,1,400.0,0,0
41.79,2,1,3,4,21,62.58,55,24,1,1,3,200.0,0,0
35.82,6,0,1,3,54,160.92,84,41,1,1,0,300.0,0,1
27.13,6,1,4,0,0,162.78,33,31,1,1,1,500.0,0,1
48.67,9,1,0,2,23,415.03,4971,48,0,4,1,500.0,0,0
34.6,8,1,1,1,42,234.8,84,41,1,0,0,300.0,0,1
42.37,7,1,4,3,10,286.59,8327,42,1,3,1,1000.0,1,0
46.53,0,3,4,3,0,0.0,7214,32,0,3,3,600.0,1,1
30.45,7,1,4,5,6,207.15,7214,32,0,1,3,600.0,1,1
28.62,5,0,3,4,5,138.1,3145,44,1,0,1,500.0,0,0
31.71,2,1,0,3,2,61.42,1541,25,1,1,1,200.0,0,1
