订单ID,用户ID,商品名称,包装规格,单价(元),数量(个),订单金额(元),下单时间,消费城市级别,支付方式,优惠方式,优惠金额(元),实际支付(元),库存剩余(件),商品评分,是否复购,客户年龄段
9288470,649968,回锅肉,600g,39.28,10,392.8,2024/10/21 0:52,三线,银行卡,满减,3,389.8,1402,30,1,18-24
1281634,499127,鱼香肉丝,300g,34.04,6,204.24,2024/2/7 14:14,三线,余额,秒杀,16,188.24,9918,31,1,35-44
2300660,532005,番茄炒蛋,400g,22.18,2,44.36,2024/10/23 15:41,一线,银行卡,平台券,4,40.36,3706,40,1,45-54
7624132,167794,清蒸鲈鱼,1000g,27.61,6,165.66,2024/9/13 4:48,一线,支付宝,会员折扣,1,164.66,4646,14,0,25-34
7624132,167794,清蒸鲈鱼,1000g,29.81,8,238.48,2024/9/13 4:48,新一线,支付宝,店铺券,1,237.48,4646,14,1,18-24
4331404,849244,清蒸鲈鱼,600g,17.39,9,156.51,2024/4/30 5:15,二线,银行卡,店铺券,10,146.51,3214,30,1,25-34
1367106,162517,鱼香肉丝,200g,41.01,1,41.01,2024/3/19 20:40,三线,微信,会员折扣,19,22.01,72,32,0,18-24
3422134,317470,宫保鸡丁,200g,47.58,3,142.74,2024/4/24 9:06,一线,支付宝,秒杀,26,116.74,3673,43,1,25-34
3422134,317470,宫保鸡丁,200g,45.79,6,274.74,2024/4/24 9:06,一线,支付宝,满减,11,263.74,3673,43,1,18-24
5743390,502150,番茄炒蛋,400g,33.92,7,237.44,2024/9/28 21:20,三线,银行卡,满减,7,230.44,2982,30,1,45-54
7834341,661024,鱼香肉丝,800g,24.27,5,121.35,2024/1/4 15:23,新一线,银行卡,会员折扣,10,111.35,60,32,0,18-24
2877035,774453,宫保鸡丁,800g,15.64,5,78.2,2024/12/26 23:56,新一线,余额,满减,2,76.2,2333,36,0,45-54
7834341,661024,鱼香肉丝,800g,10.22,7,71.54,2024/1/4 15:23,新一线,银行卡,满减,12,59.54,60,32,1,35-44
9874539,158594,回锅肉,600g,42.62,6,255.72,2024/10/14 1:28,三线,微信,会员折扣,8,247.72,9241,47,1,45-54
2195472,456098,蒜蓉西兰花,500g,39.16,7,274.12,2024/9/6 4:59,新一线,银行卡,满减,6,268.12,6507,31,1,25-34
4743796,280399,宫保鸡丁,200g,12.96,1,12.96,2024/6/25 8:01,三线,云闪付,会员折扣,11,1.96,14,42,0,18-24
7541583,843324,麻婆豆腐,500g,22.44,8,179.52,2024/11/9 19:03,一线,云闪付,满减,1,178.52,42,35,0,18-24
4743796,280399,宫保鸡丁,200g,23.01,6,138.06,2024/6/25 8:01,二线,云闪付,秒杀,28,110.06,14,42,1,55+
7834341,661024,鱼香肉丝,800g,35.5,7,248.5,2024/1/4 15:23,新一线,银行卡,满减,27,221.5,60,32,0,45-54
9276636,263575,凉拌黄瓜,200g,40.43,2,80.86,2024/1/22 3:38,一线,支付宝,无,0,80.86,2633,20,1,25-34
2116138,571795,清蒸鲈鱼,400g,32.45,0,0,2024/4/23 15:35,新一线,银行卡,秒杀,0,0,20,46,1,35-44
2116138,571795,清蒸鲈鱼,400g,29.75,2,59.5,2024/4/23 15:35,三线,银行卡,无,0,59.5,20,46,1,18-24
9907254,954155,回锅肉,1000g,14.32,4,57.28,2024/2/9 15:42,新一线,余额,会员折扣,0,57.28,6916,43,1,18-24
7834341,661024,鱼香肉丝,800g,19.97,8,159.76,2024/1/4 15:23,三线,银行卡,满减,8,151.76,60,32,0,25-34
9742411,937477,糖醋里脊,800g,26.42,7,184.94,2024/10/10 13:10,三线,微信,满减,3,181.94,6237,40,1,18-24
4103305,400374,宫保鸡丁,1000g,13.08,6,78.48,2024/5/26 14:12,新一线,支付宝,会员折扣,3,75.48,27,30,1,25-34
5678004,697211,鱼香肉丝,800g,16.45,7,115.15,2024/7/28 5:46,三线,微信,会员折扣,1,114.15,87,40,1,55+
2634226,976013,蒜蓉西兰花,400g,17.46,2,34.92,2024/7/27 21:25,新一线,余额,满减,17,17.92,77,45,1,25-34
4103305,400374,宫保鸡丁,1000g,30.43,9,273.87,2024/5/26 14:12,一线,支付宝,满减,29,244.87,27,30,0,45-54
2634226,976013,蒜蓉西兰花,400g,14.79,6,88.74,2024/7/27 21:25,一线,余额,秒杀,15,73.74,77,45,1,18-24
9768747,730371,鱼香肉丝,400g,22.93,3,68.79,2024/7/14 8:20,新一线,支付宝,会员折扣,0,68.79,9724,41,1,45-54
9533759,823528,糖醋里脊,1000g,30.75,4,123,2024/8/1 8:10,新一线,余额,秒杀,1,122,1379,38,0,18-24
6588000,726466,凉拌黄瓜,1000g,38.12,6,228.72,2024/9/19 15:54,新一线,微信,满减,10,218.72,7981,31,0,25-34
5799471,354815,番茄炒蛋,300g,24.55,6,147.3,2024/7/28 1:27,新一线,支付宝,无,0,147.3,8241,13,0,55+
1067736,923659,番茄炒蛋,300g,21.39,5,106.95,2024/1/24 9:09,二线,支付宝,店铺券,27,79.95,9,17,0,25-34
3062969,450592,蒜蓉西兰花,500g,12.06,4,48.24,2024/2/9 22:18,一线,微信,会员折扣,12,36.24,33,13,0,45-54
2155623,750732,螺蛳粉,200g,21.15,5,105.75,2024/5/21 5:31,一线,云闪付,会员折扣,3,102.75,3262,35,0,18-24
1067736,923659,番茄炒蛋,300g,19.58,10,195.8,2024/1/24 9:09,新一线,支付宝,满减,9,186.8,9,17,0,18-24
5378444,766351,回锅肉,1000g,15.8,9,142.2,2024/8/29 12:18,新一线,余额,会员折扣,3,139.2,4024,35,0,45-54
8146892,247206,鱼香肉丝,1000g,49.43,8,395.44,2024/7/25 0:08,二线,余额,秒杀,24,371.44,7556,50,1,35-44
1067736,923659,番茄炒蛋,300g,36.89,0,0,2024/1/24 9:09,一线,支付宝,满减,0,0,9,17,0,35-44
9768747,730371,鱼香肉丝,400g,40.46,0,0,2024/7/14 8:20,一线,支付宝,满减,0,0,9724,41,1,18-24
2155623,750732,螺蛳粉,200g,39.13,10,391.3,2024/5/21 5:31,新一线,云闪付,满减,13,378.3,3262,35,0,18-24
8146892,247206,鱼香肉丝,1000g,24.71,8,197.68,2024/7/25 0:08,一线,余额,无,0,197.68,7556,50,1,18-24
1067736,923659,番茄炒蛋,300g,35.34,8,282.72,2024/1/24 9:09,新一线,支付宝,无,0,282.72,9,17,0,25-34
5799471,354815,番茄炒蛋,300g,31.43,2,62.86,2024/7/28 1:27,一线,支付宝,会员折扣,7,55.86,8241,13,0,25-34
2155623,750732,螺蛳粉,200g,22.83,7,159.81,2024/5/21 5:31,新一线,云闪付,秒杀,4,155.81,3262,35,0,25-34
5678004,697211,鱼香肉丝,800g,11.63,8,93.04,2024/7/28 5:46,新一线,微信,无,0,93.04,87,40,1,35-44
9768747,730371,鱼香肉丝,400g,33.64,4,134.56,2024/7/14 8:20,新一线,支付宝,无,0,134.56,9724,41,1,25-34
2634226,976013,蒜蓉西兰花,400g,23.64,0,0,2024/7/27 21:25,一线,余额,店铺券,0,0,77,45,1,55+
8146892,247206,鱼香肉丝,1000g,20.32,1,20.32,2024/7/25 0:08,新一线,余额,秒杀,8,12.32,7556,50,1,45-54
2155623,750732,螺蛳粉,200g,32.21,4,128.84,2024/5/21 5:31,一线,云闪付,无,0,128.84,3262,35,0,25-34
