变量,训练集 (n=1773),测试集 (n=444),统计量,P值
复购情况（目标变量）,,,χ²=0.000,1.000
  否,661 (37.3%),165 (37.2%),,
  是,1112 (62.7%),279 (62.8%),,
商品类别,,,χ²=4.134,0.247
  主食面汤,152 (8.6%),31 (7.0%),,
  蔬菜,389 (21.9%),85 (19.1%),,
  豆制品,165 (9.3%),38 (8.6%),,
  肉食,1067 (60.2%),290 (65.3%),,
支付方式,,,χ²=0.543,0.969
  银行卡,393 (22.2%),102 (23.0%),,
  云闪付,243 (13.7%),58 (13.1%),,
  微信,173 (9.8%),45 (10.1%),,
  支付宝,654 (36.9%),158 (35.6%),,
  余额,310 (17.5%),81 (18.2%),,
优惠方式,,,χ²=3.634,0.603
  无,353 (19.9%),93 (20.9%),,
  平台券,193 (10.9%),43 (9.7%),,
  店铺券,172 (9.7%),52 (11.7%),,
  满减,388 (21.9%),91 (20.5%),,
  秒杀,203 (11.4%),43 (9.7%),,
  会员折扣,464 (26.2%),122 (27.5%),,
消费城市级别,,,χ²=0.989,0.804
  一线,396 (22.3%),99 (22.3%),,
  新一线,722 (40.7%),189 (42.6%),,
  二线,240 (13.5%),53 (11.9%),,
  三线,415 (23.4%),103 (23.2%),,
是否节假日,,,χ²=0.413,0.520
  否,1260 (71.1%),323 (72.7%),,
  是,513 (28.9%),121 (27.3%),,
是否用餐高峰,,,χ²=1.270,0.260
  否,959 (54.1%),254 (57.2%),,
  是,814 (45.9%),190 (42.8%),,
